Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
D4993_C5_H2_Bin_733	Lokiarchaeales	Private	88.32	6.15	3.166096	3.536
D4993_C5_H2_Bin_79	Thorarchaeia	Private	93.93	3.74	2.881834	3.057
D4993_C5_H2_Bin_811	Heimdallarchaeaceae	Private	82.71	4.21	2.937617	3.446
D4993_C5_H2_Bin_84_clean	Thorarchaeia	Private	70.8	1.87	0.940157	1.215
D4993_C5_H3_Bin_186	Thorarchaeia	Private	57.76	3.27	2.49763	3.553
D4993_C5_H3_Bin_323	Gerdarchaeales	Private	60.75	2.34	1.407093	1.959
D4993_C5_H3_Bin_368	Thorarchaeia	Private	92.99	3.74	2.732652	2.924
D4993_C5_H3_Bin_385	Gerdarchaeales	Private	46.5	2.48	2.196476	3.372
D4993_C5_H3_Bin_400	Helarchaeales	Private	92.06	2.34	3.643459	3.933
D4993_C5_H3_Bin_450	Heimdallarchaeaceae	Private	72.9	5.18	2.708066	3.442
D4993_C5_H3_Bin_468	Lokiarchaeales	Private	91.74	3.74	3.589779	3.886
D4993_C5_H3_Bin_486	Ranarchaeia	Private	89.02	0	1.955402	2.17
D4993_C5_H3_Bin_497	Lokiarchaeales	Private	87.38	4.49	4.15438	4.679
D4993_C5_H3_Bin_515_clean	Lokiarchaeales	Private	64.53	1.4	2.741649	3.714
D4993_C5_H3_Bin_532	Heimdallarchaeaceae	Private	82.71	6.92	2.365598	2.775
D4993_C5_H3_Bin_603_clean	Baldrarchaeia	Private	86.32	8.8	2.682663	3.05
D4993_C5_H3_Bin_613	Lokiarchaeales	Private	82.14	3.74	4.097846	4.83
D4993_C5_H3_Bin_680	Heimdallarchaeaceae	Private	91.45	4.98	2.696564	2.927
D4993_C5_H3_Bin_765_clean	Heimdallarchaeaceae	Private	90.65	5.25	3.138523	3.432
D4993_C5_H3_Bin_769	Helarchaeales	Private	73.52	9.35	2.990313	3.782
D4993_C5_H4_Bin_11	Lokiarchaeales	Private	56	0	1.69411	2.44
D4993_C5_H4_Bin_142_clean	Gerdarchaeales	Private	73.29	1.87	2.052991	2.601
D4993_C5_H4_Bin_224_clean	Heimdallarchaeaceae	Private	54.61	3.43	1.353104	1.967
